,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,Other_B,acer,AMD,Intel,M1,MediaTek,Qualcomm,Celeron Dual,Core i3,Core i5,Core i7,Core i9,M1,Other_P,Pentium Quad,Ryzen 3,Ryzen 5,Ryzen 7,Ryzen 9,DOS,Mac,Windows
73,10,2,1,4,0,1,0,1,,0,0,0,38990,53900,27,4.5,53,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,11,2,1,4,0,1,0,1,,0,0,0,44427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,10,2,1,4,0,1,0,1.5,,1,0,0,35990,46990,23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
76,10,2,1,4,0,1,0,1.5,,1,0,1,40200,49999,19,3.9,48,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
77,10,2,1,4,0,0,0,1.5,,0,0,0,40990,56800,27,3.7,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,10,2,1,4,0,1,0,1,,1,0,0,42490,54723,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
79,11,2,1,4,0,1,0,1,,1,0,1,47999,54999,12,4.4,6352,1014,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
80,,2,1,0,3,0,0,1.5,,0,0,0,23990,27000,11,3.3,61,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,11,2,1,4,0,1,0,1.5,,0,1,0,71999,72246,0,4.3,97,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
82,11,2,1,4,0,1,0,1.5,,1,0,0,39990,52990,24,4.4,181,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,10,2,1,4,0,1,0,1.5,,1,0,1,41998,56590,25,4.4,529,39,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,11,2,1,4,0,0,0,1.5,,0,0,0,41990,52990,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
85,10,2,1,4,0,1,0,1.5,,2,0,1,39999,59999,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,10,2,1,4,0,0,0,1.5,,0,0,0,39990,47990,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
87,11,2,1,4,0,1,0,1.5,,0,0,0,39998,60090,33,4.2,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,11,2,1,4,0,1,0,1,,1,0,1,42490,45892,7,4.4,5205,561,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
89,10,2,1,4,0,0,0,1.5,,0,0,0,41990,49800,15,3.7,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
90,11,2,1,4,0,0,0,1.5,,0,0,0,48490,58990,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
91,11,2,1,4,0,1,0,1,,1,0,1,44376,45376,2,4.2,1090,96,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92,11,2,1,4,0,0,0,1.5,,0,0,0,43900,57095,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
93,11,2,1,4,0,1,0,1.5,,1,0,0,46690,57095,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
94,10,2,1,4,0,0,0,1.5,,0,0,0,40990,48900,16,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
95,10,2,1,4,0,1,0,1,,1,0,0,39990,49821,19,4,44,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
96,11,2,1,4,0,1,0,1,,0,0,0,43990,50250,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
97,11,2,1,4,0,1,0,1,,1,0,0,36990,44990,17,4.5,70,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98,11,3,1,4,0,1,0,1.5,15.6,1,0,0,48500,58493,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
99,11,3,1,4,0,1,0,1.5,15.6,0,0,0,48990,58990,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
100,,2,4,0,3,0,0,1.5,,0,0,0,23490,29990,21,4.2,632,92,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,8,2,1,4,0,1,0,1.5,14,1,1,1,54238,0,0,4.4,71,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,10,3,1,7,0,1,0,1.5,15.6,1,0,0,37990,50990,25,4.3,990,108,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
103,11,3,1,7,0,1,0,1,15.6,1,0,1,42990,57330,25,4.4,158,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
104,11,3,1,7,0,1,0,1,15.6,1,0,1,42990,49590,13,4.3,681,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105,10,2,1,7,0,1,0,1.5,15.6,1,0,0,35990,49990,28,4.4,130,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
106,11,3,1,7,0,0,0,1,15.6,1,0,0,42990,55999,23,4.3,1063,152,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
107,11,3,1,7,0,1,0,1.5,14,1,0,0,42990,57990,25,4.3,30,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
108,11,3,5,7,0,0,0,1.5,14,1,1,1,51990,67990,23,4.7,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
109,11,3,1,7,0,1,0,1.5,15.6,1,0,0,48990,62990,22,4.5,174,30,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,11,3,1,7,0,1,0,1.5,14,1,0,0,42990,57990,25,4.5,40,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
111,10,3,1,7,0,1,0,1,15.6,1,0,0,38990,62190,37,3.9,13,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
112,11,3,1,7,0,1,0,1,14.96,0,0,0,45990,60908,24,4.3,184,29,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
113,10,3,1,7,0,1,0,1,15.6,1,0,1,42490,50294,15,4.3,1296,126,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
114,11,3,1,7,0,1,0,1,15.6,1,0,1,43970,50196,12,4.3,571,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
115,10,2,1,7,0,1,0,1,15.6,1,0,1,39990,49990,20,4.3,2551,297,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
116,11,3,1,7,0,1,0,1,14,0,0,0,48990,49590,1,4.5,17,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
117,11,3,1,7,0,1,0,1.5,14,1,0,1,54990,69267,20,4.5,35,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
118,10,3,1,7,0,1,0,1,14,0,0,0,40990,55990,26,4.4,118,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
119,11,3,1,7,0,1,0,1,14.1,1,0,1,41990,55990,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
120,11,3,1,7,0,1,0,1,14,1,1,0,54990,79690,30,4.5,245,34,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,11,3,1,7,0,1,0,1.5,14,1,0,1,44990,46390,3,4.4,2058,305,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
122,11,3,1,7,0,1,0,1.5,15.6,1,0,0,41250,46602,11,4.1,117,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
123,11,3,1,7,0,1,0,1,14,0,0,0,44990,52900,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
124,11,3,1,7,0,1,0,1.5,14,1,0,0,42990,57990,25,4.7,74,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
125,11,3,1,7,0,1,0,1.5,14,1,1,0,60790,78307,22,4.4,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
126,11,3,1,7,0,1,0,1.5,15.6,0,0,0,45650,55202,17,4.1,39,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,10,3,1,7,0,1,0,1,14,1,0,1,41990,49826,15,3.9,29,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
128,10,3,1,7,0,1,0,1,15.6,1,0,0,45490,60046,24,4.2,43,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
